Angle Intensity Error
21.880 452.000 1.000
21.900 450.000 1.000
21.920 470.000 1.000
21.940 458.000 1.000
21.960 448.000 1.000
21.980 466.000 1.000
22.000 435.000 1.000
22.020 420.000 1.000
22.040 453.000 1.000
22.060 443.000 1.000
22.080 449.000 1.000
22.100 462.000 1.000
22.120 459.000 1.000
22.140 438.000 1.000
22.160 444.000 1.000
22.180 466.000 1.000
22.200 444.000 1.000
22.220 456.000 1.000
22.240 477.000 1.000
22.260 449.000 1.000
22.280 454.000 1.000
22.300 435.000 1.000
22.320 412.000 1.000
22.340 439.000 1.000
22.360 462.000 1.000
22.380 462.000 1.000
22.400 476.000 1.000
22.420 464.000 1.000
22.440 471.000 1.000
22.460 465.000 1.000
22.480 439.000 1.000
22.500 454.000 1.000
22.520 466.000 1.000
22.540 481.000 1.000
22.560 483.000 1.000
22.580 481.000 1.000
22.600 507.000 1.000
22.620 523.000 1.000
22.640 540.000 1.000
22.660 545.000 1.000
22.680 582.000 1.000
22.700 570.000 1.000
22.720 544.000 1.000
22.740 532.000 1.000
22.760 507.000 1.000
22.780 504.000 1.000
22.800 495.000 1.000
22.820 489.000 1.000
22.840 479.000 1.000
22.860 475.000 1.000
22.880 474.000 1.000
22.900 452.000 1.000
22.920 471.000 1.000
22.940 472.000 1.000
22.960 459.000 1.000
22.980 454.000 1.000
23.000 472.000 1.000
23.020 482.000 1.000
23.040 511.000 1.000
23.060 487.000 1.000
23.080 473.000 1.000
23.100 488.000 1.000
23.120 481.000 1.000
23.140 511.000 1.000
23.160 492.000 1.000
23.180 486.000 1.000
23.200 471.000 1.000
23.220 469.000 1.000
23.240 504.000 1.000
23.260 494.000 1.000
23.280 501.000 1.000
23.300 501.000 1.000
23.320 489.000 1.000
23.340 511.000 1.000
23.360 512.000 1.000
23.380 544.000 1.000
23.400 523.000 1.000
23.420 499.000 1.000
23.440 506.000 1.000
23.460 510.000 1.000
23.480 506.000 1.000
23.500 506.000 1.000
23.520 557.000 1.000
23.540 551.000 1.000
23.560 563.000 1.000
23.580 564.000 1.000
23.600 594.000 1.000
23.620 592.000 1.000
23.640 589.000 1.000
23.660 593.000 1.000
23.680 635.000 1.000
23.700 606.000 1.000
23.720 602.000 1.000
23.740 587.000 1.000
23.760 565.000 1.000
23.780 539.000 1.000
23.800 534.000 1.000
23.820 565.000 1.000
23.840 554.000 1.000
23.860 527.000 1.000
23.880 525.000 1.000
23.900 542.000 1.000
23.920 552.000 1.000
23.940 566.000 1.000
23.960 582.000 1.000
23.980 584.000 1.000
24.000 565.000 1.000
24.020 578.000 1.000
24.040 594.000 1.000
24.060 624.000 1.000
24.080 606.000 1.000
24.100 617.000 1.000
24.120 600.000 1.000
24.140 608.000 1.000
24.160 612.000 1.000
24.180 607.000 1.000
24.200 618.000 1.000
24.220 607.000 1.000
24.240 615.000 1.000
24.260 671.000 1.000
24.280 660.000 1.000
24.300 632.000 1.000
24.320 658.000 1.000
24.340 679.000 1.000
24.360 674.000 1.000
24.380 710.000 1.000
24.400 739.000 1.000
24.420 717.000 1.000
24.440 750.000 1.000
24.460 771.000 1.000
24.480 770.000 1.000
24.500 754.000 1.000
24.520 742.000 1.000
24.540 728.000 1.000
24.560 754.000 1.000
24.580 766.000 1.000
24.600 774.000 1.000
24.620 742.000 1.000
24.640 810.000 1.000
24.660 783.000 1.000
24.680 810.000 1.000
24.700 825.000 1.000
24.720 822.000 1.000
24.740 868.000 1.000
24.760 901.000 1.000
24.780 919.000 1.000
24.800 929.000 1.000
24.820 935.000 1.000
24.840 954.000 1.000
24.860 955.000 1.000
24.880 950.000 1.000
24.900 989.000 1.000
24.920 1011.000 1.000
24.940 1014.000 1.000
24.960 1032.000 1.000
24.980 1023.000 1.000
25.000 1076.000 1.000
25.020 1096.000 1.000
25.040 1132.000 1.000
25.060 1146.000 1.000
25.080 1157.000 1.000
25.100 1175.000 1.000
25.120 1232.000 1.000
25.140 1243.000 1.000
25.160 1278.000 1.000
25.180 1324.000 1.000
25.200 1316.000 1.000
25.220 1351.000 1.000
25.240 1375.000 1.000
25.260 1441.000 1.000
25.280 1407.000 1.000
25.300 1427.000 1.000
25.320 1466.000 1.000
25.340 1511.000 1.000
25.360 1518.000 1.000
25.380 1615.000 1.000
25.400 1655.000 1.000
25.420 1692.000 1.000
25.440 1699.000 1.000
25.460 1753.000 1.000
25.480 1797.000 1.000
25.500 1855.000 1.000
25.520 1899.000 1.000
25.540 1950.000 1.000
25.560 1940.000 1.000
25.580 1993.000 1.000
25.600 2103.000 1.000
25.620 2172.000 1.000
25.640 2151.000 1.000
25.660 2209.000 1.000
25.680 2251.000 1.000
25.700 2322.000 1.000
25.720 2358.000 1.000
25.740 2401.000 1.000
25.760 2397.000 1.000
25.780 2400.000 1.000
25.800 2514.000 1.000
25.820 2560.000 1.000
